PC1,PC2,KMeans_Cluster,Agglo_Cluster
-1.5931257002928512,0.5600948729799423,2,0
-1.5401272025367392,1.267890723061671,2,0
0.16717499895679583,-0.015211662632699395,1,0
0.9226662197312824,-1.0840713389109626,0,2
-1.1824388186808537,-1.016019796513242,1,0
2.31319652928433,-0.9900159415318807,0,2
0.29570407121355297,1.8190624284521988,2,1
-2.4340860331772904,-0.522873609845784,1,0
0.6374874980605036,1.6008437026525408,2,1
-0.5376837482878614,-0.9141522618172974,1,0
1.447935012554078,0.6060744866399875,0,1
-0.005818901591929861,-0.6182505474153452,1,0
0.4339211724283412,0.35492546167091443,1,1
1.422492067067388,0.12126498677834677,0,2
-0.3472971647287456,-1.1695615035683906,1,0
